No,科目,種類,プロジェクト,タスク,問題文,解答操作
1,Word365,新教材,1,1,編集記号を非表示にしてください。非表示にした後、再度編集記号を表示してください。,［ホーム］タブ↓［編集記号の表示/非表示］をクリック（非表示）↓再度、［編集記号の表示/非表示］をクリック（表示）
2,Word365,新教材,1,2,見出し「CSR活動のメリット」の下の「社員のコンプライアンス意識の確立」から3つの段落を箇条書きにしてください。,「社員のコンプライアンス意識の確立」から3つの段落を選択↓［ホーム］タブ↓［箇条書き］をクリック
3,Word365,新教材,1,3,画像の左の段落にスタイル「参照２」を設定してください。,画像の左の段落を選択↓［ホーム］タブ↓［スタイル］グループの棒付き下矢印をクリック↓「参照2」を選択
4,Word365,新教材,1,4,見出し「第２節　会社の社会的責任の定義と問題点」内の小見出し「日本におけるCSR活動」のスタイルを「見出し２」に変更してください。,「日本におけるCSR活動」を選択↓［ホーム］タブ↓［スタイル］グループの棒付き下矢印をクリック↓「見出し2」を選択
5,Word365,新教材,1,5,見出し「第１節　はじめに」の下にある「会社の社会的責任」に設定されている書式をすべてクリアしてください。,「会社の社会的責任」の文字列を選択↓［ホーム］タブ↓［すべての書式をクリア］をクリック
6,Word365,新教材,2,1,「青空文庫のURLはコチラ↓」の文字列を切り取って、見出し「朗読を楽しみましょう！」の下の段落に貼り付けます。,「青空文庫のURLはコチラ↓」を選択↓［ホーム］タブ↓［切り取り］をクリック↓「朗読を楽しみましょう！」の下の段落をクリック↓［貼り付け］をクリック
7,Word365,新教材,2,2,見出し「方法」の下にある箇条書きのレベルを「3」に変更します。,「青空文庫から･･･」から「ネット上で･･･」の３段落を選択↓［ホーム］タブ↓［箇条書き］の下矢印をクリック↓［リストのレベルの変更］をポイント↓［レベル3］を選択
8,Word365,新教材,2,3,文書内の「朗読を楽しみましょう！」の文字の色を「青、アクセント1、黒+基本色25％」に変更します。,「朗読を楽しみましょう！」を選択↓［ホーム］タブ↓［フォントの色］の   をクリック↓「青、アクセント1、黒+基本色25％」を選択
9,Word365,新教材,2,4,文書の一番下の図形に、「いつでもご参加ください」と入力します。,図形を選択↓「いつでもご参加ください」と入力↓図形の選択を解除
10,Word365,新教材,2,5,テキストボックス内の文字列を15ptの斜体にします。,テキストボックスを選択↓［ホーム］タブ↓［フォントサイズ］をクリックし、「15」と入力↓［Enter］キー↓［斜体］をクリック
11,Word365,新教材,3,1,文書の余白を「やや狭い」に設定します。,［レイアウト］タブ↓［余白］をクリック↓［やや狭い］を選択
12,Word365,新教材,3,2,見出し「参考文献一覧」の先頭にセクション区切りを挿入し、次のページから始まるように設定します。,「参考文献一覧」の先頭をクリック↓［レイアウト］タブ↓［区切り］をクリック↓［次のページから開始］を選択
13,Word365,新教材,3,3,見出し「参考文献一覧」で始まるセクションの印刷の向きを、「横向き」に設定します。,「参考文献一覧」で始まるセクション内にカーソルを移動↓［レイアウト］タブ↓［印刷の向き］をクリック↓［横］を選択
14,Word365,新教材,3,4,見出し「参考文献一覧」で始まるセクションを2段組みに設定します。,「参考文献一覧」で始まるセクション内にカーソルを移動↓［レイアウト］タブ↓［段組み］をクリック↓［2段］を選択
15,Word365,新教材,3,5,見出し「参考文献一覧」の「●茨城県天心記念五浦美術館『･･･」の先頭に段区切りを挿入します。,「●茨城県天心記念五浦美術館『･･･」の先頭をクリック↓［レイアウト］タブ↓［区切り］をクリック↓［段区切り］を選択
16,Word365,新教材,3,6,見出し「参考文献一覧」で始まるセクションの1段目の行間をすべて1.3に設定します。,段組みの1段組目を（段区切り記号を含まないように）選択↓［ホーム］タブ↓［段落の設定］をクリック↓［行間］の下矢印をクリックし「倍数」を選択↓［間隔］をクリックし「1.3」と入力↓［OK］をクリック
17,Word365,新教材,4,1,見出し「1.生活の中でできるエコ活動」に「最新の情報を確認」とコメントを挿入します。,「1.生活の中でできるエコ活動」を選択↓［校閲］タブ↓［新しいコメント］をクリック↓「最新の情報を確認」と入力↓［コメントを投稿する］をクリック
18,Word365,新教材,4,2,見出し「その他」に挿入されているコメントに「前田先生に最終確認」と返信します。,「その他」に挿入されているコメントの［返信］をクリック↓［返信］をクリック↓「前田先生に最終確認」と入力↓［返信を投稿する］をクリック
19,Word365,新教材,4,3,本文内の「エコと節約」に対するコメントを解決してください。その後、コメントを削除します。,「エコと節約」に挿入されているコメントの 　［その他のスレッド操作］をクリック↓［スレッドを解決する］を選択↓［解決済みコメントへ移動］をクリック↓［スレッドの削除］をクリック↓［コメント一覧］を閉じる
20,Word365,新教材,4,4,文書にスタイルセット「線（シンプル）」を設定します。,［デザイン］タブ↓［ドキュメントの書式設定］グループの棒付き下矢印 をクリック↓「線（シンプル）」を選択
21,Word365,新教材,4,5,ページの背景に透かし文字「下書き1」を挿入します。,［デザイン］タブ↓［透かし］をクリック↓［下書き1］を選択
22,Word365,新教材,4,6,文書の周囲を罫線で囲みます。線の色「青、アクセント1」、線の太さを「1.5pt」に設定します。,［デザイン］タブ↓［ページ罫線］をクリック↓［ページ罫線］タブが表示されていることを確認↓［囲む］をクリック↓［色］の　下矢印をクリックし、［青、アクセント1］を選択↓［線の太さ］の　 をクリックし、［1.5pt］を選択↓［OK］をクリック
23,Word365,新教材,4,7,ドキュメント検査を行い、透かし文字とヘッダー・フッターを削除します。その他の項目は削除しません。,［ファイル］タブ↓［情報］をクリック↓［問題のチェック］をクリック↓［ドキュメント検査］を選択↓メッセージを確認し、［はい］をクリック↓［検査］をクリック↓［ヘッダー、フッター、透かし］の［すべて削除］をクリック↓［閉じる］をクリック
24,Word365,新教材,5,1,「5月21日より5日間の･･･」の段落の先頭に、画像「ノートPC」を挿入します。文字列の折り返しは「行内」にします。,「5月21日より5日間の･･･」の先頭をクリック↓［挿入］タブ↓［画像］をクリック↓「このデバイス」をクリック↓「ノートPC」を選択↓［挿入］をクリック↓［レイアウトオプション］をクリック↓［行内］を選択↓［閉じる］をクリック↓［行内］をクリック↓画像の選択を解除
25,Word365,新教材,5,2,「5月21日より5日間の･･･」の段落の先頭の画像の文字列の折り返しを「四角形」に変更します。,「5月21日より5日間の･･･」の先頭の画像をクリック↓［図の形式］タブ↓「文字列の折り返し」をクリック↓［四角形］を選択↓画像の選択を解除
26,Word365,新教材,5,3,「5月21日より5日間の･･･」の段落の先頭の画像にアート効果「水彩：スポンジ」を設定します。,「5月21日より5日間の･･･」の先頭の画像を選択↓［図の形式］タブ↓「アート効果」をクリック↓［水彩：スポンジ］を選択↓画像の選択を解除
27,Word365,新教材,5,4,「5月21日より5日間の･･･」の段落の先頭の画像に図の効果「ぼかし25ポイント」を設定します。,「5月21日より5日間の･･･」の先頭の画像を選択↓［図の形式］タブ↓「図の効果」をクリック↓［ぼかし25ポイント］を選択↓画像の選択を解除
28,Word365,新教材,5,5,「TOEICテスト対策セミナー･･･」のタイトルの右側の画像に、図の効果「面取り ハードエッジ」を設定します。,「TOEICテスト対策セミナー･･･」のタイトルの右側の画像を選択↓［図の形式］タブ↓［図の効果］をクリック↓［面取り ハードエッジ］を選択↓画像の選択を解除
29,Word365,新教材,5,6,「TOEICテスト対策セミナー･･･」のタイトルの右側の画像がスクリーンリーダーに表示されるように、代替テキスト「セミナー案内」を設定します。,「TOEICテスト対策セミナー･･･」のタイトルの右側の画像を選択↓［図の形式］タブ↓［代替テキスト］をクリック↓［代替テキスト］ウィンドウのテキストボックスに「セミナー案内」と入力↓［閉じる］をクリック↓画像の選択を解除
30,Word365,新教材,5,7,「5月21日より5日間の･･･」の段落の先頭の画像の代替テキストを装飾化します。,「5月21日より5日間の･･･」の段落の先頭の画像を選択↓［図の形式］タブ↓［代替テリスト］をクリック↓［代替テキスト］ウィンドウの［装飾用にする］をオン↓［閉じる］をクリック↓画像の選択を解除
31,Word365,新教材,5,8,文末の画像の背景を削除します。背景以外は削除しないようにします。,文末の画像をクリック↓［図の形式］タブ↓［背景の削除］をクリック↓［保持する領域としてマーク］をクリック↓マウスポインターの形がペンの状態で、髪の毛の部分と靴の部分をドラッグ↓［変更を保持］をクリック↓画像の選択を解除
32,Word365,新教材,6,1,見出し「（2）月別催事内容」の下にある「実施月」から「富士の水だより」までを、7行2列の文字列の幅に合わせた表に変換します。,「実施月」から「富士の水だより」までを選択↓［挿入］タブ↓［表］をクリック↓「文字列を表にする」をクリック↓［列数］が「2」、［行数］が「7」になっていることを確認↓「文字列の幅に合わせる」をクリック↓「OK」をクリック↓表の選択を解除
33,Word365,新教材,6,2,見出し「（2）月別催事内容」の表の5行目から表を分割します。,「（2）月別催事内容」の表の5行目を選択↓表の［レイアウト］タブ↓「表の分割」をクリック↓表の選択を解除
34,Word365,新教材,6,3,1つ目の表の1行2列目を3列に分割します。,1つ目の表の1行2列目をクリック↓表の［レイアウト］タブ↓「セルの分割」をクリック↓［列数］を「3」に設定↓［行数］が「1」になっていることを確認↓［OK］をクリック↓表の選択を解除
35,Word365,新教材,6,4,見出し「２.北海道のうまいもの市場売上」の表の1行目に「塗りつぶし：オレンジ、アクセント カラー2；輪郭：オレンジ アクセント カラー2」の文字の効果を設定します。,「２.北海道のうまいもの市場売上」の表の１行目を選択↓［ホーム］タブ↓［文字の効果と体裁］をクリック↓［塗りつぶし：オレンジ、アクセント カラー2；輪郭：オレンジ アクセント カラー2］をクリック↓表の選択を解除
36,Word365,新教材,6,5,見出し「2.北海道のうまいもの市場売上」の表の列幅をすべて同じにします。,「2.北海道のうまいもの市場売上」の表を選択↓表の［レイアウト］タブ↓［幅を揃える］をクリック↓表の選択を解除
37,Word365,新教材,6,6,見出し「2.北海道のうまいもの市場売上」の表の最初の行が、自動的に各ページのタイトル行として表示されるようにします。,「2.北海道のうまいもの市場売上」の表の１行目を選択↓表の［レイアウト］タブ↓［タイトル行の繰り返し］をクリック↓表の選択を解除
38,Word365,新教材,6,7,２ページの最後の空白の段落に、13行3列の表を作成します。1行目の左から「最高売上」「平均売上」「合計売上」と入力します。,２ページの最後の空白の段落をクリック↓［挿入］タブ↓［表］をクリック↓［表の挿入］をクリック↓［表の挿入］ダイアログボックスで［列数］に「3」と入力↓［行数］をクリックし「13」と入力↓［OK］をクリック↓表の１行１列目をクリックし、「最高売上」と入力↓表の１行２列目をクリックし、「平均売上」と入力↓表の１行3列目をクリックし、「合計売上」と入力↓表の選択を解除
39,Word365,新教材,7,1,文書の互換モードを解除します。メッセージが表示された場合は「OK」をクリックします。,［ファイル］タブ↓［情報］をクリック↓「変換」をクリック↓最新のファイル形式にアップグレードされるメッセージが表示↓「OK」をクリック
40,Word365,新教材,7,2,文章のプロパティの会社名に「ラビット出版」と設定します。,ファイル］タブ↓「情報」をクリック↓［プロパティをすべて表示］をクリック↓［会社］をクリックし、「ラビット出版」と入力↓［ホームに戻る］をクリック
41,Word365,新教材,7,3,文書に「インテグラル」のヘッダーを挿入します。,［挿入］タブ↓［ヘッダー］をクリック↓［インテグラル］を選択↓［ヘッダーとフッターを閉じる］をクリック
42,Word365,新教材,7,4,文書に「朗読会」という名前を付けてテキストファイルとして保存します。ファイルの変換は既定値のままにします。,［ファイル］タブをクリック↓［名前を付けて保存］をクリック↓［参照］をクリック↓［ファイル名］に「朗読会」と入力↓［ファイルの種類］の下矢印をクリック↓「書式なし（*.txt）」を選択↓［保存］をクリック↓［OK］をクリック
43,Word365,新教材,7,5,この文書のコピーをマクロ有効文書として保存します。「名前を付けて保存」画面で読み取りパスワードを「abc」に設定すること。,［ファイル］タブをクリック↓［名前を付けて保存］をクリック↓［参照］をクリック↓［ファイルの種類］をクリック↓「マクロ有効文書（*.docm）」を選択↓［ツール］をクリック↓［全般オプション］をクリック↓［読み取りパスワード］をクリックし「abc」と入力↓［OK］をクリック↓［読み取りパスワードをもう一度入力してください］をクリックし、「abc」と入力↓［OK］をクリック↓［保存］をクリック
44,Word365,新教材,8,1,副題「－みんなのサイバーセキュリティ－」の下の図形に「自動作成の目次2」の目次を挿入します。,図形を右クリック↓［テキストの追加］をクリック↓［参考資料］タブ↓「目次」をクリック↓「自動作成の目次2」を選択↓図形の選択を解除
45,Word365,新教材,8,2,見出し「サイバーセキュリティって何？」の下にある「マルウェア」の後ろに「電子機器に悪影響を与えるプログラム」と脚注を挿入します。,「マルウェア」の後ろをクリック↓［参考資料］タブ↓［脚注の挿入］をクリック↓脚注番号の右に「電子機器に悪影響を与えるプログラム」と入力
46,Word365,新教材,8,3,脚注の開始番号を「①」に変更します。,"［参考資料］タブ↓［脚注と文末脚注］をクリック↓［番号書式］の下矢印 をクリック↓「①,②,③･･･」を選択↓［適用］をクリック"
47,Word365,新教材,8,4,見出し「参考文献一覧」の先頭に「§（セクション記号）」の特殊文字を挿入します。,「参考文献」の先頭をクリック↓［挿入］タブ↓［記号と特殊文字］をクリック↓［その他の記号］をクリック↓［特殊文字］タブをクリック↓「§（セクション）」を選択↓［挿入］をクリック↓［閉じる］をクリック
48,Word365,新教材,8,5,最後のページにSmart Art「基本ベン図」を挿入し、「機密性」、「完全性」、「可用性」と入力します。文字列の順序は問いません。,最後のページの段落をクリック↓［挿入］タブ↓［Smart Art］をクリック↓［集合関係］をクリック↓［基本ベン図］をクリック↓［OK］をクリック↓テキストウィンドウの1行目に「機密性」と入力↓次の行をクリックし「完全性」と入力↓次の行をクリックし「可用性」と入力↓Smart Artの選択を解除
49,Word365,新教材,8,6,最後のページのSmart Artの色を「カラフル」の「アクセント2から3」に変更します。,最後のページのSmart Artをクリック↓Smart Artのデザイン］タブをクリック↓［色の変更］をクリック↓「カラフル-アクセント2から3」を選択↓Smart Artの選択を解除
50,Word365,新教材,8,7,文書の最下部の「TOP」と書かれた図形に、文頭に戻るリンクを挿入します,最下部の図形を選択↓［挿入］タブ↓［リンク］をクリック↓［このドキュメント内］をクリック↓「文書の先頭」をクリック↓［OK］をクリック↓図形の選択を解除
51,Word365,新教材,9,1,見出し「5月の同時キャンペーン」の下にある「4. ゴールデンウィーク」の段落番号を「1」から開始するようにします。,段落番号「4」を右クリック↓［1から再開］をクリック
52,Word365,新教材,9,2,見出し「2. 月別催事内容」の下の表を、コンマ区切りの文字列に変更します。,表内にカーソルを移動↓表の［レイアウト］タブ↓「表の解除」をクリック↓［コンマ］をクリック↓［OK］をクリック
53,Word365,新教材,9,3,「3. 小豆島のうまいもの市場売上」の下の表のセルの右の余白を「4mm」にします。,表内にカーソルを移動↓表の［レイアウト］タブ↓［セルの配置］をクリック↓［右］をクリックし「4」と入力↓［OK］をクリック↓表の選択を解除
54,Word365,新教材,9,4,「3. 小豆島のうまいもの市場売上」の下の表を、「合計」の降順に並べ替えます。,表内にカーソルを移動↓表の［レイアウト］タブ↓［並べ替え］をクリック↓［集最優先されるキー］の 下矢印をクリック↓［合計］を選択↓［降順］をクリック↓［OK］をクリック↓表の選択を解除
55,Word365,新教材,9,5,文書内の変更履歴を全て承認して変更履歴の記録を停止します。,［校閲］タブ↓［承諾］の下側をクリック↓［すべての変更履歴を反映し、変更の記録を停止］をクリック
56,Word365,新教材,9,6,他のユーザーが変更履歴を編集できないようにロックします。パスワードは「654」にします。,［校閲］タブ↓［変更履歴の記録］の下側をクリック↓［変更履歴のロック］をクリック↓［パスワードの入力］をクリックし、「456」と入力↓［パスワードの確認入力］をクリックし、「456」と入力↓［OK］をクリック
57,Word365,新教材,10,1,文書内のすべての「ウイルス」を「コンピュータウイルス」に置き換えます。,［ホーム］タブ↓［置換］をクリック↓［検索する文字列］をクリックし「ウイルス」と入力↓［置換後の文字列］をクリックし「コンピュータウイルス」と入力↓［すべて置換］をクリック↓メッセージを確認し、［OK］をクリック↓［閉じる］をクリック
58,Word365,新教材,10,2,見出し「最低限意識してほしいこと」の下の段落番号を「PCアイコン」の画像の行頭文字に変更します。,「1.推測できる簡単な･･」から「3.サポート切れソフトウェア･･･」の段落を選択↓［ホーム］タブをクリック↓［箇条書き］の下矢印 をクリック↓［新しい行頭文字の定義］をクリック↓［図］をクリック↓［ファイルから］をクリック↓［PCアイコン］をクリック↓［挿入］をクリック↓［OK］をクリック
59,Word365,新教材,10,3,見出し「その他意識してほしいこと」の下の行頭文字をフォント「Webdings」の文字コード「120」にします。,「1.セキュリティ対策ソフト･･･」から「4.使わなくなった機器･･･」の段落を選択↓［箇条書き］の下矢印 をクリック↓［新しい行頭文字の定義］をクリック↓［記号］をクリック↓［フォント］の下矢印 をクリック↓［Webdings］を選択↓［文字コード］をクリック↓「120」と入力↓［OK］をクリック↓［OK］をクリック
60,Word365,新教材,10,4,置換機能を使用して、文書内の全て「事例」を斜体に変更します。,［ホーム］タブ↓［置換］をクリック↓［検索する文字列］をクリックし「事例」と入力↓［置換後の文字列］をクリックし、文字列を削除↓［オプション］をクリック↓［置換後の文字列］をクリックし、カーソルを移動↓［書式］をクリック↓［フォント］をクリック↓［斜体］を選択↓［OK］をクリック↓［すべて置換］をクリック↓メッセージを確認し、［OK］をクリック↓［閉じる］をクリック
61,Word365,新教材,10,5,文書の用紙サイズをB5に変更し、最後の2行の行間を「1.6行」にします。,［レイアウト］タブ↓［サイズ］をクリック↓「B5」を選択↓最後のページに移動↓最後の2行を選択↓［ホーム］タブ↓　［段落の設定］をクリック↓［行間］の下矢印 をクリック↓［倍数］を選択↓［1.6］と入力↓［OK］をクリック
